brma,region
Ashford,South East
Aylesbury,South East
Barnsley,Yorkshire and The Humber
Barrow-in-Furness,North West
Basingstoke,South East
Bath,South West
Bedford,East of England
Birmingham,West Midlands
Black Country,West Midlands
Blackwater Valley,South East
Bolton and Bury,North West
Bournemouth,South West
Bradford & South Dales,Yorkshire and The Humber
Brighton and Hove,South East
Bristol,South West
Bury St Edmunds,East of England
Cambridge,East of England
Canterbury,South East
Central Greater Manchester,North West
Central Lancs,North West
Central London,London
Central Norfolk & Norwich,East of England
Chelmsford,East of England
Cheltenham,South West
Cherwell Valley,South East
Chesterfield,East Midlands
Chichester,South East
Chilterns,South East
Colchester,East of England
Coventry,West Midlands
Crawley & Reigate,South East
Darlington,North East
Derby,East Midlands
Doncaster,Yorkshire and The Humber
Dover-Shepway,South East
Durham,North East
East Cheshire,North West
East Lancs,North West
East Thames Valley,South East
Eastbourne,South East
Eastern Staffordshire,West Midlands
Exeter,South West
Fylde Coast,North West
Gloucester,South West
Grantham & Newark,East Midlands
Greater Liverpool,North West
Grimsby,Yorkshire and The Humber
Guildford,South East
Halifax,Yorkshire and The Humber
Harlow & Stortford,East of England
Harrogate,Yorkshire and The Humber
Herefordshire,West Midlands
High Weald,South East
Hull & East Riding,Yorkshire and The Humber
Huntingdon,East of England
Inner East London,London
Inner North London,London
Inner South East London,London
Inner South West London,London
Inner West London,London
Ipswich,East of England
Isle of Wight,South East
Kendal,North West
Kernow West,South West
Kings Lynn,East of England
Kirklees,Yorkshire and The Humber
Lancaster,North West
Leeds,Yorkshire and The Humber
Leicester,East Midlands
Lincoln,East Midlands
Lincolnshire Fens,East Midlands
Lowestoft & Great Yarmouth,East of England
Luton,East of England
Maidstone,South East
Medway & Swale,South East
Mendip,South West
Mid & East Devon,South West
Mid & West Dorset,South West
Mid Staffs,West Midlands
Milton Keynes,South East
Newbury,South East
North Cheshire,North West
North Cornwall & Devon Borders,South West
North Cumbria,North West
North Devon,South West
North Nottingham,East Midlands
North West Kent,South East
North West London,London
Northampton,East Midlands
Northants Central,East Midlands
Northumberland,North East
Nottingham,East Midlands
Oldham & Rochdale,North West
Outer East London,London
Outer North East London,London
Outer North London,London
Outer South East London,London
Outer South London,London
Outer South West London,London
Outer West London,London
Oxford,South East
Peaks & Dales,East Midlands
Peterborough,East of England
Plymouth,South West
Portsmouth,South East
Reading,South East
Richmond & Hambleton,Yorkshire and The Humber
Rotherham,Yorkshire and The Humber
Rugby & East,West Midlands
Salisbury,South West
Scarborough,Yorkshire and The Humber
Scunthorpe,Yorkshire and The Humber
Sheffield,Yorkshire and The Humber
Shropshire,West Midlands
Solihull,West Midlands
South Cheshire,North West
South Devon,South West
South East Herts,East of England
South West Essex,East of England
South West Herts,East of England
Southampton,South East
Southend,East of England
Southern Greater Manchester,North West
Southport,North West
St Helens,North West
Staffordshire North,West Midlands
Stevenage & North Herts,East of England
Sunderland,North East
Sussex East,South East
Swindon,South West
Tameside & Glossop,North West
Taunton & West Somerset,South West
Teesside,North East
Thanet,South East
Tyneside,North East
Wakefield,Yorkshire and The Humber
Walton,North West
Warwickshire South,West Midlands
West Cheshire,North West
West Cumbria,North West
West Pennine,North West
West Wiltshire,South West
Weston-S-Mare,South West
Wigan,North West
Winchester,South East
Wirral,North West
Wolds and Coast,Yorkshire and The Humber
Worcester North,West Midlands
Worcester South,West Midlands
Worthing,South East
Yeovil,South West
York,Yorkshire and The Humber
