SW_MEMBER,BRMA name,2013-14 room weekly rate ,2013-14 1 bed weekly rate ,2013-14 2 bed weekly rate ,2013-14 3 bed weekly rate ,2013-14 4 bed weekly rate ,2014-15 room weekly rate ,2014-15 1 bed weekly rate ,2014-15 2 bed weekly rate ,2014-15 3 bed weekly rate ,2014-15 4 bed weekly rate ,2015-16 3 bed weekly rate ,2015-16 2 bed weekly rate ,2015-16 1 bed weekly rate ,2015-16 room weekly rate ,2015-16 4 bed weekly rate ,2016-17 room weekly rate ,2016-17 1 bed weekly rate ,2016-17 2 bed weekly rate ,2016-17 3 bed weekly rate ,2016-17 4 bed weekly rate,2017-18 room weekly rate ,2017-18 1 bed weekly rate ,2017-18 2 bed weekly rate ,2017-18 3 bed weekly rate ,2017-18 4 bed weekly rate,2018-19 room weekly rate ,2018-19 1 bed weekly rate ,2018-19 2 bed weekly rate ,2018-19 3 bed weekly rate ,2018-19 4 bed weekly rate,2019-20 room weekly rate ,2019-20 1 bed weekly rate ,2019-20 2 bed weekly rate ,2019-20 3 bed weekly rate ,2019-20 4 bed weekly rate,2020-21 room weekly rate ,2020-21 1 bed weekly rate ,2020-21 2 bed weekly rate ,2020-21 3 bed weekly rate ,2020-21 4 bed weekly rate,2021-22 room weekly rate ,2021-22 1 bed weekly rate ,2021-22 2 bed weekly rate ,2021-22 3 bed weekly rate ,2021-22 4 bed weekly rate
3,Ashford,63.88,116.74,138.46,165.09,219.23,66.44,117.91,139.84,161.54,221.42,168,145.43,119.09,67.1,223.63,67.1,119.09,145.43,168,223.63,67.1,119.09,145.43,168,223.63,67.1,122.66,145.43,173.04,223.63,69.11,126.34,149.79,178.23,230.34,78,143.84,168,207.12,260.05,78,143.84,168,207.12,260.05
4,Aylesbury,69.27,121.15,150,183.46,288.46,72.04,122.36,151.5,190.8,288.46,198.43,153.02,123.58,72.76,291.34,72.76,123.58,153.02,198.43,291.34,72.76,127.29,157.61,198.43,291.34,72.76,131.11,162.34,204.38,291.34,72.76,135.04,167.21,210.51,291.34,78.59,155.34,184.11,241.64,322.19,78.59,155.34,184.11,241.64,322.19
6,Barnsley,58.5,69.23,86.54,95,137.31,58.5,72,86.54,95.95,137.31,99.79,87.41,72.72,58.08,136.93,56.58,72.72,87.41,99.79,136.93,58.08,72.72,87.41,99.79,136.93,58.07,72.72,87.41,99.79,136.93,58.07,72.72,87.41,99.79,136.93,61.5,84,92.05,109.32,148.44,61.5,84,92.05,109.32,148.44
7,Barrow-in-Furness,62,75,91.15,109.62,138.46,62.62,75,92.06,109.62,137.31,110.47,92.05,78,63.25,136.93,63.25,78,92.05,110.47,136.93,65.15,78,92.05,110.47,136.93,67.1,78,92.05,110.47,136.93,67.1,78,92.05,110.47,136.93,81.35,86.54,102.41,126.58,166.85,81.35,86.54,102.41,126.58,166.85
8,Basingstoke,64.9,132.67,161.54,188.68,253.85,65.55,132.69,160.38,190.38,256.39,192.28,161.98,134.02,68.17,266.65,68.17,134.02,161.98,192.28,266.65,68.17,134.02,161.98,192.28,266.65,68.17,138.04,161.98,192.28,266.65,68.17,138.04,166.84,198.05,266.65,78.59,159.95,189.86,218.63,287.67,78.59,159.95,189.86,218.63,287.67
9,Bath,71.54,129.23,159.2,183.46,286.15,72.26,134.4,165.57,190.8,289.01,189.86,167.23,135.74,72.49,291.9,72.49,135.74,167.23,189.86,291.9,72.49,135.74,167.23,189.86,291.9,74.66,139.81,167.23,195.56,300.66,74.66,144,172.25,201.43,309.68,105.82,166.85,195.62,228.99,402.74,105.82,166.85,195.62,228.99,402.74
10,Bedford,63.5,98.08,126.92,153.3,199.04,63.46,102,128.19,154.83,207,156.38,133.32,103.02,62.18,209.07,62.18,103.02,133.32,156.38,209.07,62.18,103.02,133.32,161.07,209.07,64.05,106.11,137.32,165.9,215.34,65.97,109.29,141.44,170.88,221.8,79.57,132.33,166.85,201.37,264.66,79.57,132.33,166.85,201.37,264.66
11,Birmingham,56.21,96.92,117.92,126.92,165.09,56.77,97.89,119.1,126.92,166.74,132,120.29,98.87,57.34,173.41,57.34,98.87,120.29,132,173.41,57.34,98.87,120.29,132,173.41,57.34,98.87,123.9,132,173.41,57.34,101.84,127.62,135.96,173.41,67,120.82,143.84,155.34,195.62,67,120.82,143.84,155.34,195.62
12,Black Country,60,86.54,106.13,117.92,150,60,86.54,103.85,119.1,150,120.29,104.89,86.3,60,151.5,60,86.3,104.89,120.29,151.5,60,86.3,104.89,120.29,151.5,60,86.3,104.89,120.29,151.5,60,86.3,104.89,123.9,151.5,60.18,91.82,117.37,136.93,172.6,60.18,91.82,117.37,136.93,172.6
13,Blackwater Valley,73.89,138.46,173.08,206.54,300,76.85,139.84,174.81,208.61,300,210.7,176.56,141.24,79.92,312,79.92,141.24,176.56,210.7,312,79.92,141.24,176.56,210.7,312,79.92,141.24,176.56,210.7,312,79.92,145.48,176.56,210.7,312,86.5,161.1,201.37,253.15,333.7,86.5,161.1,201.37,253.15,333.7
